ID	Clan	A4_Gender	A5_Age	A6_HH_head	A7_Gender_HHH_if	A10_women	A10_girls	A10_men	A10_boys	A10_under2	A10_Marit_stat	A12_disp_stat	A15_income	A16_Employ_Stat	A17_Main_Source_Income	A18_Livestock_yn	A18_Sheep	A18_Goats	A18_Cows	A18_Camels	A19_disabled	A20_HHDisabled	A21_AbleAccessMedserv	A21_Distance	A21_MoneyTravel	A21_MoneyService	A21_MoneyMedicine	A21_UseTraditionalMed	B1_MealAdults	B1_MealsChildren	B2_Cereals	B2_vegorange	B2_roots	B2_leaves	B2_otherveg	B2_localfruits	B2_Otherfruits	B2_meat	B2_egg	B2_fish	B2_legumin	B2_milky	B2_fat	B2_sugar	B2_other	B3_days_cereals	B3_days_roots	B3_days_beans	B3_days_veg	B3_days_fruits	B3_days_eggmeat	B3_days_milky	B3_days_sugar	B3_days_fat	B3_days_other	B13_months_notenough	B14_Nov	B14_Oct	B14_Sep	B14_Aug	B14_Jul	B14_Jun	B14_May	B14_Apr	B14_Mar	B14_Feb	B14_Jan	B14_Dec	B15_Nofoodtoeat	B16_Sleephungry	B17_alldayandnightwithouteating	B18_Worry NotEnoughtoEat	C1_OwnLand	C2_Acresowned	C3_Bean	C3_Sesame	C3_Cowpeas	C3_Maize	C3_Other	C4_Seed_Beans	C4_Seed_Sesame	C4_Seed_Cowpeas	C4_Seed_Maize	C4_Seed_Other	C5_Source_Beans	C5_Source_Sesame	C5_Source_Cowpeas	C5_Source_Maize	C5_Source_Other	C7_Area_Beans	C7_Area_Sesame	C7_Area_Cowpeas	C7_Area_Maize	C7_Area_Other	C8_Seed_Beans_enough	C8_Seed_Sesame_enough	C8_Seed_Cowpeas_enough	C8_Seed_Maize_enough	C8_Seed_Other_enough	C9_Pest_Attack_Beans	C9_Pest_Attack_Sesame	C9_Pest_Attack_Cowpeas	C9_Pest_Attack_Maize	C9_Pest_Attack_Other	C10_Pest_Affected_Beans	C10_Pest_Affected_Sesame	C10_Pest_Affected_Cowpeas	C10_Pest_Affected_Maize	C10_Pest_Affected_Other	C11_Pest_Mngmt_Beans	C11_Pest_Mngmt_Sesame	C11_Pest_Mngmt_Cowpeas	C11_Pest_Mngmt_Maize	C11_Pest_Mngmt_Other	C12_Pest_Fertilizer_Beans	C12_Pest_Fertilizer_Sesame	C12_Pest_Fertilizer_Cowpeas	C12_Pest_Fertilizer_Maize	C12_Pest_Fertilizer_Other	C13_PestFertilizer_WARDI_Beans	C13_PestFertilizer_WARDI_Sesame	C13_PestFertilizer_WARDI_Cowpeas	C13_PestFertilizer_WARDI_Maize	C13_PestFertilizer_WARDI_Other	C15_goodpract_Beans	C15_goodpract_Sesame	C15_goodpract_Cowpeas	C15_goodpract_Maize	C15_goodpract_Other	C16_irrig_Beans	C16_irrig_Sesame	C16_irrig_Cowpeas	C16_irrig_Maize	C16_irrig_Other	C17_Areairrig_Beans	C17_Areairrig_Sesame	C17_Areairrig_Cowpeas	C17_Areairrig_Maize	C17_Areairrig_Other	C18_training_goodpract	C18_training_harvest	C18_training_input	C18_training_fert	C18_training_soil	C18_training_pestmngt	C18_training_flooddrought	C18_training_accounting	C18_training_seeding	C18_training_climate	C18_training_seedselect	C19_org_goodpract	C18_org_harvest	C18_org_input	C18_org_fert	C18_org_soil	C18_org_pestmngt	C18_org_flooddrought	C18_org_accounting	C18_org_seeding	C18_org_climate	C18_org_seedselect	C18_long_goodpract	C18_long_harvest	C18_long_input	C18_long_fert	C18_long_soil	C18_long_pestmngt	C18_long_flooddrought	C18_long_accounting	C18_long_seeding	C18_long_climate	C18_long_seedselect	C19_received_shovel	C19_received_fork	C19_received_axe	C19_received_hoe	C19_received_bandingtool	C19_usetractor	C20_irrigrehab	C20_WaterAccess	C20_WaterAccess_other	C20_freq_irrig	C20_freq_irrig_day	C21_assistance_veggarden	C22_receive_foodstoragecontainer	C22_what_text	C23_access_food_increased	C23_why_text	D1_source_LH_yn	D2_Main_source_LH	D3_LH_income	D4_WARDI_chicken	D4_chicken_beforeWARDI	D4_Chicken_owned	D11_consumming_eggs	D11_selling_eggs	D11_giving_eggs	D13_Training_animal_husband	D14_Sell_agr_prod	D15_Nearest_Market_km	D16_transport_means	D17_challenge_roads	D17_challenge_Insecurity	D17_challenge_transpCost	D17_challenge_distance	D17_challenge_notenough	D17_challenge_Other	D19_train_bookkeeping	D19_train_marketing	D19_train_credit	D19_train_mngt	D19_train_literacy	D22_LH_Changed	D23_WARDI_donkey	D23_WARDI_donkeyCart	D29_training_rehabRoads	D30_involved_roadClearance	E1_IYCFtraining	E1_Coockingtraining	E1_WaterTreattraining	E3_Part_MotherSupportGroup	F1_MainSource_Drink	F3_Distance_Water_km	F3_Distance_Water_min	F7_pay_for_water	F8_water_treatment_used	H1_washhand_beforemeal	H1_washhand_beforeservfood	H1_washhand_beforeeat	H1_washhand_beforefeedbab	H1_washhand_aftercleanbaby	H1_washhand_aftertoil	H1_washhand_aftergarb	H1_washhand_afterplay	H2_important_why	H3_wash_with_what	H4_use_latrines	Village_clean	A7_Gender_HH	A10_Total	B2_HDDS	B3_FCS	B15_HSS	B13_MAHFP	longitude	latitude	A10_children	FCS Score
63	Hawaadle	Male	32	Yes	0	1	2	1	3	0	Married	Host Community	120	Self-employed	Land cultivation	No	0	0	0	0	No	No	Yes						3	3	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	6	1	6	1	1	0	6	6	6	6	No													Never	Never	Never	Never	Yes	1.0	No	No	No	Yes	No	0	0	0	Improved	0	0	0	0	Received from NGOs	0	0	0	0	Less than a hectare	0	0	0	0	Yes	0	0	0	0	No	0	0	0	0	0	0	0	0	0	No	0	0	0	0	Received from NGOs	0	0	0	0	Yes	0	0	0	0	Yes	0	0	0	0	No	0	0	0	0	0	0	Yes	No	No	Don't know	Don't know	Don't know	Don't know	Don't know	Don't know	Don't know	Don't know	WARDI	0	0	0	0	0	0	0	0	0	0	5 days	0	0	0	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	No	Fetch with jerrycan	0	Everyday	Once a day	No	No	0	Yes	Due to agricultural inputs	Yes	Farming	100	0	0	0				No	Yes	10.0	Donkey cart	Yes	No	No	No	No	0.0						Yes	No	No	Yes	Yes				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	3	80	0.0	None	No	No	Yes	No	No	No	No	No	To reduces spread/ transmission of disease	Water alone	Yes	Lafoole	Male	7	6	64.0	0	12	45.346663331595316	4.56796560173429	5	Acceptable
64	Hawaadle	Male	50	Yes	0	1	4	1	3	1	Married	IDP	100	Self-employed	Land cultivation	No	0	0	0	0	No	Yes	No	Yes	No	Yes	Yes	No	2	2	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	3	0	2	0	1	1	2	3	3	3	Yes	Yes	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Sometimes (three to ten times in the past four weeks)	Rarely (once or twice in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	19.7684	Yes	Yes	Yes	Yes	No	Improved	Improved	Improved	Improved	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	0	Yes	Yes	Yes	Yes	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	5 days	5 days	5 days	5 days	5 days	5 days	5 days	5 days	5 days	5 days	5 days	Yes	Yes	Yes	Yes	Yes	No	Yes	Pipes	0	Three times a week	Once a day	No	Yes	Maize, Beans, Tomatos	Yes	After the assistance my livelihood enhanced and access to enough food.	No	0	0	0	0	0				No	No	10.0	Donkey cart	No	No	Yes	Yes	Yes	0.0						Yes	Yes	Yes	No	Yes				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	20	0.003	None	No	No	Yes	Yes	No	Yes	Yes	No	To be healthy	With water and ash	No	HeloKaliyo	Male	10	5	28.0	4	8	45.37165220252638	4.478214843255592	7	Borderline
65	Hawaadle	Male	40	Yes	0	1	1	1	0	1	Married	IDP	60	Self-employed	Casual employment	Yes	2	0	0	0	No	Yes	No	Yes	No	Yes	Yes	No	3	3	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	4	2	0	0	0	3	2	3	3	3	Yes	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	49.4211	Yes	Yes	Yes	Yes	Yes	Improved	Improved	Improved	Improved	Improved	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	Yes	Yes	Yes	Yes	Yes	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	No	No	No	No	No	No	No	No	No	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	Yes	No	Fetch with jerrycan	0	Three times a week	Twice a day	No	Yes	Maize, Beans, Tomatos	Yes	"- Increases access to food
- Increased access to nutrition for the children
- Income generation,"	No	0	0	7	0	10	Yes	Yes	No	Yes	No	5.0	Donkey cart	No	No	No	Yes	Yes	0.0						Yes	No	No	No	No	Yes	No	No	Yes	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	30	0.003	Aqua tabs	Yes	No	Yes	Yes	Yes	Yes	Yes	No	To be healthy	With water and soap	Yes	HeloKaliyo	Male	4	9	35.0	4	9	45.37165220252638	4.478214843255592	1	Borderline
66	Hawiye	Male	35	Yes	0	1	1	1	1	1	Married	Host Community	150	Self-employed	Land cultivation	Yes	10	20	2	0	No	No	No	No	Yes	No	No	No	2	3	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	3	2	1	1	2	1	2	4	2	2	No													Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	3.0	Yes	Yes	Yes	Yes	No	Improved	Improved	Improved	Improved	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	1-5 ha	1-5 ha	1-5 ha	1-5 ha	0	Yes	Yes	Yes	Yes	0	No	No	No	No	0	0	0	0	0	0	Yes	Yes	Yes	Yes	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	No	No	No	No	0	0	0	0	0	0	No	No	No	No	No	No	No	No	No	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	Yes	No	Pipes	0	Once a week	Twice a day	Yes	No	0	Yes	Because most of what we eat is our local producty	Yes	Farming	100	0	0	0				No	Yes	10.0	Car	Yes	Yes	Yes	Yes	Yes	0.0						No	No	No	No	No				No	Rainwater collection	2	10	0.0	None	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	LaabkaBoor	Male	5	15	31.0	4	12	45.471599794691436	4.6060176901324335	2	Borderline
67	Cawadle	Female	34	No	Male	1	6	1	2	0	Married	Host Community	90	Self-employed	Land cultivation	No	0	0	0	0	No	No	Yes						2	2	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	Yes	Yes	4	1	2	1	1	1	1	1	2	4	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	No	Sometimes (three to ten times in the past four weeks)	Often (more than ten times in the past four weeks)	Rarely (once or twice in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Yes	25.0	Yes	Yes	Yes	Yes	No	Improved	Improved	Improved	Improved	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	1-5 ha	Less than a hectare	Less than a hectare	6-10 ha	0	Yes	Yes	Yes	No	0	Yes	Yes	Yes	Yes	0	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	0	Yes	Yes	Yes	Yes	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	0	Yes	Yes	Yes	Yes	Don't know	Yes	Yes	Don't know	Don't know	Don't know	Don't know	WARDI	WARDI	WARDI	WARDI	0	WARDI	WARDI	0	0	0	0	2 days	2 days	2 days	2 days	0	2 days	2 days	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	No	Pipes	0	Once a week	Once a day	No	No	0	Yes	from the agricultural support provided the output of my farm increased.	No	0	0	0	0	0				No	No	2.0	Other	No	No	No	No	No							Yes	No	No	No	No	Yes	No	No	Yes	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	3	60	0.0	Boiling water	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	To reduces spread/ transmission of disease	With water and ash	Yes	Qooqane	Male	10	10	27.5	5	10	45.41981191406724	4.720480201846662	8	Borderline
68	Cawadle	Male	19	No	Male	1	4	1	4	0	Single	Host Community	120	Self-employed	Land cultivation	No	0	0	0	0	No	No	Yes						3	3	Yes	No	No	Yes	No	No	No	No	No	No	Yes	No	Yes	Yes	Yes	5	0	2	1	0	0	0	1	2	4	Yes	No	Yes	Yes	No	No	No	No	No	No	No	No	No	Rarely (once or twice in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Yes	10.0	Yes	Yes	No	Yes	No	Improved	Improved	0	Improved	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	1-5 ha	Less than a hectare	0	6-10 ha	0	Yes	Yes	0	Yes	0	No	No	0	No	0	0	0	0	0	0	Yes	Yes	0	Yes	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	Yes	Don't know	Yes	Yes	Don't know	No	No	Don't know	No	No	Don't know	WARDI	0	WARDI	WARDI	0	0	0	0	0	0	0	2 days	0	2 days	2 days	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	No	Yes	No	Pipes	0	Twice a week	Once a day	No	No	0	Yes	Due to the farming methods I gained am able to produce more output on my farm.	Yes	Farming	50	0	0	0				No	Yes	3.0	Car	No	No	Yes	Yes	No	0.0						Yes	No	No	No	Yes				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	2	45	0.0	Boiling water	No	No	Yes	Yes	Yes	Yes	Yes	No	To be healthy	With water and ash	No	Qooqane	Male	10	6	18.5	4	10	45.41981191406724	4.720480201846662	8	Poor
69	Hawadle	Female	70	Yes	0	4	1	1	0	0	Widower	Host Community	55	Unemployed	Land cultivation	No	0	0	0	0	No	No	No	Yes	Yes	Yes	Yes	No	2	3	Yes	No	No	No	No	Yes	No	No	No	No	No	Yes	Yes	Yes	Yes	4	3	4	3	4	3	4	7	6	7	Yes	No	No	No	No	No	No	No	Yes	Yes	Yes	No	No	Rarely (once or twice in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	1.5	Yes	Yes	No	Yes	No	Recycled	Recycled	0	Recycled	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	No	No	0	No	0	Yes	Yes	0	Yes	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	No	No	0	No	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	No	No	No	No	No	No	No	No	No	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Pipes	0	Everyday	Three times a day	No	No	0	Yes	With seeds and tools given to me helped ease my farming activities that enhanced produce from my farm.	Yes	Farming	55	0	0	0				No	Yes	8.0	Donkey cart	Yes	Yes	Yes	Yes	No	0.0						Yes	No	No	Yes	Yes				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	55	0.0	None	Yes	Yes	Yes	No	No	Yes	Yes	No	To reduces spread/ transmission of disease	Water alone	No	Qooqane	Female	6	6	67.5	4	9	45.41981191406724	4.720480201846662	1	Acceptable
70	Hawiye	Male	50	Yes	0	3	2	1	4	1	Married	Host Community	200	Self-employed	Land cultivation	Yes	20	30	0	0	No	Yes	No	No	No	Yes	No	No	3	3	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	3	2	1	2	1	2	3	3	3	1	No													Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	2.0	Yes	Yes	Yes	Yes	No	Improved	Improved	Improved	Improved	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	1-5 ha	1-5 ha	1-5 ha	1-5 ha	0	Yes	Yes	Yes	Yes	0	No	No	No	No	0	0	0	0	0	0	Yes	Yes	Yes	Yes	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	No	No	No	No	0	0	0	0	0	0	No	No	No	No	No	No	No	No	No	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	No	Pipes	0	Everyday	Once a day	Yes	No	0	Yes	Because the majority of the people works for farming and they produce their own foods	Yes	Farming	100	0	0	0				No	No	5.0	Car	Yes	Yes	Yes	Yes	Yes	0.0						Yes	Yes	Yes	No	No				No	Rainwater collection	5	15	0.0	None	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	No	LaabkaBoor	Male	11	15	39.0	4	12	45.471599794691436	4.6060176901324335	6	Acceptable
71	Hawaadle	Male	25	Yes	0	1	1	1	1	0	Married	IDP	80	Self-employed	Land cultivation	Yes	2	3	0	0	No	Yes	No	Yes	No	Yes	Yes	No	2	3	Yes	No	No	No	No	No	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	4	1	0	0	1	5	2	3	3	3	Yes	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	No	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	7.41316	Yes	Yes	No	Yes	No	Improved	Improved	0	Improved	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	Yes	Yes	0	Yes	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	4 days	4 days	4 days	4 days	4 days	4 days	4 days	4 days	4 days	4 days	4 days	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Pipes	0	Three times a week	Once a day	No	Yes	Maize, Beans	Yes	after received assistance the livelihood increased interms of access to food and income	Yes	Farming	100	5	0	15	Yes	Yes	No	Yes	Yes	5.0	Donkey cart	No	No	No	Yes	Yes	0.0						Yes	Yes	Yes	Yes	Yes				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	2	40	0.003	None	Yes	No	Yes	Yes	Yes	Yes	Yes	No	To reduces spread/ transmission of disease	With water and soap	No	HeloKaliyo	Male	4	7	42.0	4	8	45.37165220252638	4.478214843255592	2	Acceptable
72	Jareerwayne-Makanne	Male	25	Yes	0	1	0	1	0	1	Married	Host Community	80	Self-employed	Land cultivation	No	0	0	0	0	No	Yes	No	Yes	No	Yes	Yes	No	3	3	Yes	No	No	No	No	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	5	2	0	0	0	3	2	3	3	3	Yes	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	6.1776300000000015	Yes	Yes	No	Yes	No	Improved	Improved	0	Improved	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	Yes	Yes	0	Yes	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	4 days	4 days	4 days	4 days	4 days	4 days	4 days	4 days	4 days	4 days	4 days	Yes	Yes	Yes	Yes	Yes	Yes	No	Pipes	0	Twice a week	Once a day	No	Yes	Maize, Beans,	Yes	I have access to enough food and income generation,	Yes	Sale of agricultural/ livestock products	50	0	0	0				Yes	Yes	5.0	Donkey cart	No	No	No	Yes	Yes	0.0						Yes	Yes	Yes	No	Yes				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	2	30	0.003	None	No	No	Yes	Yes	Yes	Yes	No	No	To be healthy	With water and ash	No	Hoodleey	Male	3	8	37.0	4	10	45.46912962175604	4.63720886510614	0	Acceptable
74	Xawaadle	Female	20	No	Male	2	4	1	0	1	Married	Host Community	150	Unemployed	Land cultivation	No	0	0	0	0	No	No	No	Yes	Yes	No	No	No	3	3	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	7	0	1	0	0	0	0	7	7	7	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No	No	No	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Often (more than ten times in the past four weeks)	Yes	1.0	Yes	Yes	Yes	Yes	No	Improved	Improved	Improved	Improved	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	0	Yes	Yes	Yes	Yes	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Pipes	0	Once a week	Twice a day	No	Yes	Not used still . Will use it for beans and crops	No	Floods impacted us for our production	Yes	Farming	50	2	2	4	Yes	No	Yes	No	Yes	25.0	Car	Yes	Yes	Yes	No	No	0.0						No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	30	0.02	Chlorination	No	No	Yes	Yes	Yes	No	No	No	To be clean	With water and soap	Yes	Biyoqurun	Male	8	4	24.0	5	7	45.3040508840143	4.500255874333652	4	Borderline
76	Hawiye	Male	29	Yes	0	1	0	0	1	1	Married	Host Community	100	Self-employed	Livestock	Yes	100	100	10	0	No	No	Yes						3	3	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	3	2	2	2	2	2	4	3	2	3	No													Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	No	0.0					No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	No	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	Fetch with jerrycan	0	Never	0	No	No	0	No	We use our local products such as animal products and land products.	Yes	Livestock keeping	100	0	0	0				No	Yes	20.0	Donkey cart	Yes	Yes	Yes	Yes	Yes	0.0						No	No	No	No	No				No	Rainwater collection	10	30	0.0	None	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	No	LaabkaBoor	Male	3	15	46.5	4	12	45.471599794691436	4.6060176901324335	1	Acceptable
